41;401;146;328;347;174;448;154;315;439;64;217;45;25;127;169;386;149;488;326;218;298;53;441;3;21495
6;341;247;34;221;375;309;36;302;74;387;489;418;234;271;463;93;343;13;230;23;335;171;259;298;21461
41;448;318;439;415;264;440;405;149;140;332;64;72;325;90;428;70;340;218;382;8;217;65;372;211;21461
1;260;58;148;342;368;48;231;137;437;482;17;128;361;299;129;306;335;117;168;201;474;428;166;116;21429
3;439;328;218;386;174;347;154;146;149;53;401;448;217;488;169;315;441;25;45;41;64;326;298;127;21495
3;439;146;326;218;25;488;217;64;401;169;347;149;441;154;298;53;448;41;174;315;386;328;45;127;21495
8;342;180;482;72;376;460;430;302;79;54;478;201;378;114;255;346;69;185;361;277;259;209;166;67;21515
13;418;36;341;463;489;74;221;335;375;302;343;23;298;93;230;171;6;259;34;309;387;247;271;234;21461
3;328;439;64;298;146;25;45;401;315;154;174;488;149;347;218;448;326;41;53;169;386;441;217;127;21495
72;482;180;209;342;54;378;460;346;255;79;361;302;8;114;67;259;376;201;277;185;69;77;478;23;21513
8;478;209;378;259;54;72;67;255;302;277;180;376;346;361;460;79;185;342;69;201;430;482;114;166;21515
6;23;341;34;309;74;387;13;375;271;343;230;36;463;302;335;418;221;171;489;247;93;259;234;298;21461
201;342;209;361;72;346;79;460;255;180;67;114;277;69;259;302;478;8;482;185;376;378;54;23;77;21513
6;489;418;375;74;335;302;271;341;34;387;343;247;309;221;23;36;463;414;336;298;13;171;439;416;21475
8;180;79;277;259;201;255;460;23;378;361;302;342;376;69;114;185;209;482;54;72;77;67;346;478;21513
8;72;460;114;79;342;54;302;180;482;185;69;23;376;209;478;255;277;201;361;346;67;77;259;378;21513
8;430;255;482;166;209;378;201;79;342;478;277;54;185;346;72;114;302;460;259;361;69;180;67;376;21515
8;378;185;114;180;69;302;72;277;209;259;201;166;482;346;478;361;255;79;54;342;460;376;67;430;21515
41;439;441;146;326;448;154;149;53;25;328;315;174;347;127;218;217;169;298;488;401;64;45;386;3;21495
77;346;79;114;54;277;460;209;201;376;342;180;361;185;378;482;478;255;302;72;259;69;67;166;430;21519
8;328;139;397;248;45;154;488;10;30;121;439;315;401;405;25;149;466;169;218;217;174;448;146;41;21447
41;298;401;45;149;315;146;218;448;169;154;386;174;488;64;439;328;326;25;347;217;441;3;53;127;21495
3;53;488;146;401;149;298;218;448;64;154;328;441;386;45;25;217;174;439;169;315;326;127;41;347;21495
41;298;488;217;218;146;154;45;386;448;174;25;64;347;3;169;439;326;401;441;53;315;328;149;127;21495
6;74;418;375;336;271;463;309;387;489;221;36;341;343;298;335;414;302;439;416;171;23;13;247;34;21475
36;414;309;171;34;247;463;341;418;74;343;221;375;271;335;489;6;23;336;387;302;13;298;439;416;21475
22;171;387;341;343;259;302;230;221;489;463;418;375;93;34;298;6;74;271;247;335;36;23;309;13;21454
8;302;67;72;482;79;54;342;255;201;460;361;114;378;166;185;69;277;209;346;259;478;430;180;376;21515
3;441;174;488;347;45;217;64;154;439;326;149;298;146;386;25;315;169;218;448;401;41;53;328;127;21495
13;375;336;36;247;309;414;271;34;23;463;298;387;439;221;343;74;418;171;341;489;302;335;6;416;21475
